match_id,team_id,events,passes,shots,carries,pressures,goals,xg
3754237,22,1383,395,19,275,138,4,2.261113464
3754237,41,1653,498,9,383,110,2,1.367720484
3754238,28,2127,667,22,492,108,0,1.075394289
3754238,37,1327,322,2,200,203,1,0.23706906
3754239,1,1994,555,13,492,106,2,1.434012253
3754239,39,1515,375,7,313,201,3,0.445317126
3754240,1,2195,677,30,543,86,2,3.701509995
3754240,30,1304,338,9,238,166,0,0.282876691
3754241,1,2024,583,11,496,100,3,1.843033574
3754241,40,1488,407,17,336,80,3,1.25775596
3754242,28,1711,483,13,349,170,1,0.749419569
3754242,33,2118,593,16,531,154,4,1.285072767
3754243,37,1847,546,13,395,136,2,2.0710138506
3754243,56,1425,408,13,246,125,3,1.52759798
3754244,40,1576,461,12,280,142,2,1.671081776
3754244,56,1612,423,13,282,203,2,1.206280726
3754245,27,1632,490,9,357,79,1,1.4764541943
3754245,41,1446,397,10,251,155,0,0.670350703
3754246,23,1732,492,7,377,167,0,0.404323299
3754246,36,2293,692,18,569,112,2,1.235037312
3754247,25,1911,581,16,377,153,0,1.151731759
3754247,30,1560,424,16,299,147,1,1.412434229
3754248,28,1770,517,10,403,134,0,0.8301967616
3754248,31,1534,430,7,278,159,0,0.563289287
3754249,36,2737,861,22,654,140,4,3.259937549
3754249,59,1527,353,3,287,270,0,0.452063477
3754250,22,1539,439,12,284,180,1,2.230326432
3754250,59,1880,541,14,388,158,1,1.0482208985
3754251,24,2006,558,23,385,201,0,1.8159626205
3754251,40,1339,312,17,234,161,2,2.161970525
3754252,29,1859,520,20,444,154,3,3.107067465
3754252,37,1589,408,7,338,178,0,0.622109883
3754253,1,1996,529,10,391,268,2,0.7565358854
3754253,28,2097,555,18,461,260,0,0.665176994
3754254,37,1364,324,6,258,161,0,0.37281458
3754254,39,2336,707,20,587,96,0,1.506356631
3754255,24,2279,691,28,560,104,2,2.3245147
3754255,27,1157,307,4,182,142,2,0.479826484
3754256,29,1789,510,15,390,166,0,1.141489023
3754256,39,1938,556,10,460,104,3,1.324903946
3754257,31,1438,419,10,276,158,0,0.5355747971
3754257,36,1813,558,21,391,115,1,3.560895456
3754258,36,2119,641,13,493,158,0,1.846431137
3754258,59,1553,431,3,330,122,0,0.1685141799999999
3754259,26,2361,750,22,545,118,0,1.071158855
3754259,40,1148,290,11,194,130,0,0.42816083
3754260,31,1654,467,9,369,129,0,0.937670613
3754260,36,1951,515,17,403,245,4,1.872005348
3754261,1,2456,737,25,572,139,2,2.746086265
