player_id,player_name,position_name
3567,Georginio Wijnaldum,Center Attacking Midfield
3568,Mohamed Naser Elsayed Elneny,Right Defensive Midfield
3569,Daniel Nii Tackie Mensah Welbeck,Center Forward
3576,Martin Olsson,Left Back
3583,Ashley Westwood,Right Center Midfield
3585,Erik Lamela,Right Wing
3586,Samuel Mark Byram,Right Back
3589,Yannick Bolasie Yala,Left Wing
3590,Rhu-endly Martina,Right Back
3594,Danny Rose,Left Back
3595,Manuel Lanzini,Left Center Midfield
3596,Gareth McAuley,Right Center Back
3598,Wilfried Guemiand Bony,Center Forward
3600,Morgan Schneiderlin,Right Defensive Midfield
3602,Faustino Marcos Alberto Rojo,Left Back
3603,Mame Biram Diouf,Center Forward
3604,Olivier Giroud,Center Forward
3605,Sung-Yeung Ki,Left Center Midfield
3606,Ander Herrera Agüera,Center Attacking Midfield
3607,James McCarthy,Right Defensive Midfield
3608,Simon Francis,Right Back
3609,Michel Vorm,Goalkeeper
3611,Kevin Wimmer,Left Center Back
3612,Ashley Young,Right Back
3616,Callum Wilson,Center Forward
3619,Alex McCarthy,Goalkeeper
3621,Eden Hazard,Left Wing
3623,Adrián San Miguel del Castillo,Goalkeeper
3626,Ben Watson,Left Defensive Midfield
3629,Sadio Mané,Center Attacking Midfield
3631,Nathan Dyer,Left Midfield
3633,Gareth Barry,Left Defensive Midfield
3635,Jordon Ibe,Right Wing
3636,Charlie Adam,Left Defensive Midfield
3643,Phil Bardsley,Right Back
3644,Ashley Williams,Left Center Back
3645,Gary Cahill,Right Center Back
3646,Marc Pugh,Left Midfield
3647,Alex Iwobi,Left Wing
3649,Karl Darlow,Goalkeeper
3650,Daryl Janmaat,Right Back
3651,Matt Targett,Left Back
3652,Tom Davies,Center Attacking Midfield
3654,Daniel William John Ings,Left Wing
3656,Alex Pritchard,Right Midfield
3658,DeAndre Yedlin,Right Back
3659,Wilfredo Daniel Caballero,Goalkeeper
3662,Danny Drinkwater,Left Center Midfield
3665,Andrew Philip King,Right Defensive Midfield
3666,Robert Kenedy Nunes do Nascimento,Left Back
3668,Theo Walcott,Left Wing
3669,Virgil van Dijk,Left Center Back
3670,Jonathan Walters,Center Forward
3671,José Leonardo Ulloa,Right Center Forward
3683,Tom Cleverley,Left Wing
3684,Cheikhou Kouyaté,Right Center Midfield
3685,Jay Rodriguez,Left Wing
3693,Damien Delaney,Left Center Back
3708,Kelechi Promise Iheanacho,Right Center Forward
3709,Daniel Amartey,Right Back
3713,Calum Chambers,Right Center Back
3721,Etienne Capoue,Right Center Midfield
3722,Steven Taylor,Right Center Back
3725,José Holebas,Left Back
3726,Gerard Deulofeu Lázaro,Right Wing
3731,Adrian Mariappa,Right Center Back
3807,Ryan Allsop,Goalkeeper
3810,Shinji Okazaki,Right Center Forward
3812,Christian Fuchs,Left Back
3813,Wes Morgan,Right Center Back
3814,Riyad Mahrez,Right Midfield
3815,Kasper Schmeichel,Goalkeeper
3828,Steven Davis,Center Attacking Midfield
3831,Dušan Tadić,Left Wing
3834,Ivan Toney,Right Center Midfield
3842,Shane Long,Center Forward
3843,Angelo Obinze Ogbonna,Left Center Back
3874,Mark Noble,Left Center Midfield
3897,Pedro Mba Obiang Avomo,Center Defensive Midfield
3908,Nick Powell,Center Forward
3944,Gylfi Þór Sigurðsson,Center Attacking Midfield
3953,Aaron Lennon,Right Wing
3957,César Azpilicueta Tanco,Left Back
3958,Pedro Eliezer Rodríguez Ledesma,Left Wing
3960,José Miguel da Rocha Fonte,Right Center Back
3961,N''Golo Kanté,Left Defensive Midfield
3962,Diafra Sakho,Center Forward
3963,Victor Moses,Right Wing
3966,Charlie Austin,Center Forward
3967,Claudio Ariel Yacob,Left Defensive Midfield
3970,Fraser Forster,Goalkeeper
3973,Àngel Rangel Zaragoza,Right Back
3991,Allan Romeo Nyom,Right Back
4022,Darren Fletcher,Right Center Midfield
4035,Ryan Shawcross,Right Center Back
4040,Peter Crouch,Center Forward
4041,José Salomón Rondón Giménez,Center Forward
4045,Leroy Fer,Left Center Midfield
4053,Ben Foster,Goalkeeper
4090,Adam David Lallana,Center Attacking Midfield
4093,Jay Fulton,Right Center Midfield
4097,Matt Grimes,Left Center Midfield
4116,Sullay Kaikai,Left Midfield
4129,Tyler Roberts,Right Wing
4217,Danny Graham,Center Forward
4243,Cameron Brannagan,Right Center Midfield
4269,Aleksandar Mitrović,Center Forward
4271,Andy Carroll,Center Forward
4273,Reece Oxford,Center Defensive Midfield
4275,Ross Barkley,Center Attacking Midfield
4276,David Ospina Ramírez,Goalkeeper
4280,Winston Reid,Right Center Back
4317,Kevin Mirallas,Left Wing
4346,Gilbert Gianelli Imbula Wanga,Left Defensive Midfield
4347,Jordan Amavi,Left Back
4416,Max-Alain Gradel,Left Midfield
4417,Ola Toivonen,Center Attacking Midfield
4428,Mathieu Debuchy,Right Back
4429,Yann Gérard M''Vila,Right Center Midfield
4587,Matteo Darmian,Right Back
4589,Séamus Coleman,Right Back
4590,Nathaniel Edwin Clyne,Right Back
4597,Fabian Delph,Left Defensive Midfield
4629,José Ramiro Funes Mori,Left Center Back
4630,Saido Berahino,Left Center Forward
4631,Leon Britton,Center Defensive Midfield
4632,Stephen Ireland,Center Attacking Midfield
4700,Matthew Pennington,Left Center Back
4724,Glen Johnson,Right Back
4726,Kyle Bartley,Right Center Back
4738,Lee Tomlin,Center Attacking Midfield
4746,Younes Kaboul,Left Center Back
4747,Divock Okoth Origi,Center Forward
4751,Michael Carrick,Right Center Midfield
4762,Sergi Canós Tenes,Right Wing
4804,Bradley Johnson,Left Midfield
4807,Cameron Jerome,Center Forward
4808,Andre Wisdom,Right Back
4817,Joe Ledley,Left Center Midfield
4826,Yohan Benalouane,Right Back
4828,Adlène Guédioura,Right Midfield
4831,Nacer Chadli,Left Wing
4837,Josh Cullen,Center Forward
4840,Massadio Haïdara,Left Back
4884,Pape N''Diaye Souaré,Left Back
4891,Ibrahim Afellay,Center Attacking Midfield
4892,Sergio Germán Romero,Goalkeeper
4913,Bojan Krkíc Pérez,Center Attacking Midfield
5108,Glyn Oliver Myhill,Goalkeeper
5109,Paulo Dino Gazzaniga,Goalkeeper
5110,Henri Saivet,Right Defensive Midfield
5198,Diego da Silva Costa,Center Forward
5264,Guillermo Varela Olivera,Right Back
5458,Odion Jude Ighalo,Left Center Forward
5460,Andrej Kramarić,Left Center Midfield
5475,John Michael Nchekwube Obinna,Right Defensive Midfield
5489,Mile Jedinak,Left Defensive Midfield
5540,Valon Behrami,Left Center Midfield
5556,Miguel Arturo Layún Prado,Left Midfield
5581,Joel Nathaniel Campbell Samuels,Right Wing
5594,Branislav Ivanović,Right Back
5596,Aleksandar Kolarov,Left Back
5602,Cristian Gamboa Luna,Left Midfield
5617,Sebastian Larsson,Right Center Midfield
5685,Carlos Alberto Sánchez Moreno,Center Defensive Midfield
5689,Juan Guillermo Cuadrado Bello,Right Wing
5836,Bryan Oviedo,Left Back
6296,Joe Dodoo,Right Midfield
6300,Sebastián Coates Nión,Right Center Back
6330,Adnan Januzaj,Center Attacking Midfield
6361,James Wilson,Right Wing
6409,Adam Smith,Right Back
6560,Marc Muniesa Martínez,Left Center Back
6623,Loïc Rémy,Center Forward
6631,Mathieu Flamini,Right Defensive Midfield
6652,Jordi Amat Maas,Right Center Back
6695,Juan Miguel Jiménez López,Left Wing
6746,Gabriel Armando de Abreu,Right Center Back
6800,Carles Gil de Pareja Vicent,Right Wing
6821,Jesús Navas González,Right Wing
6846,Andreas Hoelgebaum Pereira,Right Wing
6870,José Manuel Jurado Marín,Left Midfield
6871,Costel Fane Pantilimon,Goalkeeper
6950,Alberto Paloschi,Center Forward
7010,Gastón Exequiel Ramírez Pereyra,Right Wing
7063,Jefferson Antonio Montero Vite,Left Wing
7110,Bacary Sagna,Right Back
7121,Sandro Ranieri Guimarães Cordeiro,Left Defensive Midfield
7153,Jordan Veretout,Right Center Midfield
7171,Fabio Borini,Right Midfield
7745,Steven Berghuis,Right Midfield
7780,Lucas Pezzini Leiva,Center Defensive Midfield
7848,Matt Miazga,Right Center Back
7884,Marcin Ryszard Wasilewski,Right Center Back
8061,Siem Stefan de Jong,Center Attacking Midfield
8251,Marco van Ginkel,Right Defensive Midfield
8344,Manuel García Alonso,Right Defensive Midfield
8400,Serge Gnabry,Right Midfield
8485,Pedro Chirivella Burgos,Right Center Midfield
8520,Nabil Bentaleb,Left Center Midfield
9014,Declan Rudd,Goalkeeper
9070,Hiram Boateng,Right Defensive Midfield
9452,Gary O''Neil,Right Defensive Midfield
9461,Timm Klose,Left Center Back
9463,Alexander Banor Tettey,Right Defensive Midfield
9467,Timothy Michael Krul,Goalkeeper
9485,Craig Gardner,Left Midfield
9519,Kyle Lafferty,Left Center Forward
9528,Steven Naismith,Center Attacking Midfield
9533,Leandro Bacuna,Right Back
9536,Modou Barrow,Right Wing
9539,Vito Mannone,Goalkeeper
9551,Callum McManaman,Right Midfield
9554,Steven Fletcher,Center Forward
9563,Kristoffer Nordfeldt,Goalkeeper
9566,Bersant Celina,Right Midfield
9578,Jonathan Howson,Left Center Midfield
9593,Lewis Grabban,Center Forward
9625,Glenn Whelan,Right Defensive Midfield
9626,Tommy Elphick,Right Center Back
9627,Neil Taylor,Left Back
9628,James Grant Chester,Left Back
9629,Stephen Kingsley,Left Back
9630,Andre Green,Center Attacking Midfield
9635,Will Keane,Center Forward
9636,Rushian Hepburn-Murphy,Left Center Forward
9638,Jack Grealish,Center Attacking Midfield
9641,Fraizer Campbell,Center Forward
9642,Alan Hutton,Right Back
9648,Paddy McNair,Right Center Back
9649,Jack Colback,Left Defensive Midfield
9914,Danny Ward,Goalkeeper
9930,Ryan Bennett,Right Center Back
9958,Steven Caulker,Right Center Back
9985,Ádám Bogdán,Goalkeeper
10007,Jon Flanagan,Right Back
10326,João Carlos Vilaça Teixeira,Left Center Midfield
10457,Patrick Bamford,Center Forward
10458,Fikayo Tomori,Right Back
10484,Callum Connolly,Right Back
10499,Ivo Daniel Ferreira Mendonca Pinto,Right Back
10503,Billy Jones,Right Back
10770,Adam Matthews,Right Back
10771,George Honeyman,Left Midfield
10772,Donald Love,Right Back
10779,Cameron Borthwick-Jackson,Left Back
10783,Lee Cattermole,Right Center Midfield
10931,Joe Allen,Left Center Midfield
10932,Jonathan Williams,Left Wing
10955,Harry Kane,Center Forward
10956,Eric Dier,Right Defensive Midfield
10958,Chris Smalling,Right Center Back
10960,Jamie Vardy,Left Center Forward
10966,Wes Hoolahan,Center Attacking Midfield
10967,Robert Brady,Left Back
11012,Jonathan Grant Evans,Left Center Back
11062,Graziano Pellè,Center Forward
11117,Scott Sinclair,Left Wing
11124,Steven Whittaker,Right Back
11295,Patrick Roberts,Left Midfield
11333,Adama Traoré Diarra,Right Wing
11386,Santiago Cazorla González,Left Defensive Midfield
11936,Harrison Reed,Left Defensive Midfield
11992,Kevin Linford Stewart,Center Defensive Midfield
