event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
421a13d2-e5c2-4c22-8992-d342712291f7,0.21491446,Blocked,Left Foot,Open Play,Half Volley,True,False,112.0,37.9,
7e52d7ad-af7d-40d8-9314-fa916c8f6cab,0.012261829,Saved Off Target,Head,Open Play,Normal,False,False,120.0,34.6,2.4
2ab56854-a17b-4aad-9ad5-1a7aa8395099,0.014408334,Blocked,Right Foot,Open Play,Normal,False,False,112.7,55.1,
5b1989f8-b85e-4d4c-bf7d-8e886dc5b600,0.02383459,Blocked,Right Foot,Open Play,Normal,True,False,99.4,35.1,
4b13ca23-24d4-491b-89b6-df16309341ad,0.024776584,Saved,Right Foot,Open Play,Normal,False,False,116.9,38.5,0.9
17adfb3d-a9d8-414c-bdfe-ee097c14ad96,0.06778413,Off T,Head,Open Play,Normal,False,False,120.0,27.5,2.4
2021a592-5d07-44cf-aff1-8fc5a28edd12,0.019967088,Off T,Right Foot,Open Play,Normal,False,False,120.0,48.1,5.3
92561fec-29ca-4e43-a0b0-f0510c174a3b,0.0841084,Saved,Head,Open Play,Normal,False,False,118.2,39.2,1.1
908cda03-2a44-4813-b259-988ecc5bdaab,0.024666738,Saved,Head,Open Play,Normal,False,False,120.0,38.9,2.4
58b8f80c-6544-486c-8329-fdb52321a7ba,0.15036368,Goal,Right Foot,Open Play,Half Volley,True,False,120.0,42.2,0.7
b555b3d6-be40-4599-9945-de181b11b03e,0.04343671,Saved,Left Foot,Open Play,Normal,False,False,117.6,44.7,0.2
ea66f071-2b92-4fe8-bc7d-847f27cc756a,0.010047587,Saved,Right Foot,Free Kick,Normal,False,False,118.2,39.5,1.6
7b3c710d-1661-4509-b998-515704dd7b8c,0.023792285,Saved,Left Foot,Open Play,Normal,True,False,117.9,38.8,1.3
65918a41-a5fe-4230-a959-85aff12c8925,0.2171973,Wayward,Left Foot,Open Play,Half Volley,False,False,120.0,26.0,
28cd9035-b4d3-4778-b07e-f4121b2b1fc4,0.053313516,Off T,Right Foot,Open Play,Volley,True,False,120.0,40.4,5.9
6c87fe49-cbf9-4fe7-99e2-1f817c49e860,0.13185254,Off T,Head,Open Play,Normal,False,False,120.0,45.6,2.2
21dc66fe-a1cb-407b-a0f5-53eeb7de2536,0.092802145,Saved,Head,Open Play,Normal,False,False,119.1,39.2,2.2
fd7a29a2-13b1-4088-bc25-d26d298bd2fc,0.037364755,Goal,Right Foot,Open Play,Normal,False,False,120.0,43.2,1.7
c91acd75-6566-4d39-a142-0b2b6d69f137,0.019906523,Saved,Right Foot,Open Play,Half Volley,True,False,117.1,40.3,1.3
4cb5eecd-4909-4a78-83b3-d3697adf86b3,0.19924778,Saved,Right Foot,Open Play,Normal,True,False,118.6,41.4,0.2
cd6d87b2-8075-4314-926a-a3d2419785b6,0.06621966,Off T,Head,Open Play,Normal,False,False,120.0,46.4,3.6
c1b62a78-92db-4906-87f9-2f93efc2c148,0.07241161,Saved,Head,Open Play,Normal,False,False,119.4,40.0,2.2
d4b4e702-c486-436d-9cb5-d5e4a1032b17,0.21160483,Off T,Right Foot,Open Play,Normal,True,False,120.0,41.1,4.2
142ee16a-1922-434d-8c5d-4d44dcc283b6,0.007185629,Off T,Right Foot,Open Play,Normal,False,False,120.0,39.8,5.8
