event_id,match_id,team_id,player_id,is_goal,shot_x,shot_y,distance_to_goal,shot_angle,under_pressure,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,shot_statsbomb_xg
60090849-15dc-4030-a7f1-fd741519323a,3754185,23,3721,0,99.1,46.2,21.800229356591647,0.3491555819708696,f,Right Foot,Open Play,Half Volley,t,f,0.045200415
9e71fade-8453-4c1c-8afe-79cf68f99ac3,3754096,40,3349,0,96.5,49.5,25.347583711273153,0.29153001163983905,f,Right Foot,Open Play,Half Volley,f,f,0.02470938
ceef7cd6-688d-4c6c-a8d9-87c3c0e1b3bd,3754096,40,3349,0,101.1,57,25.420660888340418,0.23546936158936715,f,Left Foot,Open Play,Normal,f,f,0.025405297
1fc4e078-8316-414e-a95c-ccdfd9df1b09,3754096,40,27053,0,94.4,46.2,26.340083523026266,0.2934317932626971,f,Right Foot,Open Play,Normal,t,f,0.029137122
44d500da-bc9a-456b-bec3-5fbbf5722e92,3754096,30,8251,0,111.4,46.2,10.601886624558855,0.6198568672358185,f,Left Foot,Open Play,Half Volley,t,f,0.084593154
f7413f08-3e9b-4d67-8c45-ab3a1da07e22,3754096,30,4891,0,100.5,39.6,19.504102132628407,0.40448434908774206,f,Left Foot,Open Play,Normal,f,f,0.07471115
1f4113d6-8890-4488-b81a-a4bde6b05a7d,3754096,30,4035,0,111.7,39.7,8.305419917138444,0.8973423378246571,t,Head,Open Play,Normal,f,f,0.07348032
2de06380-363f-420b-aa0a-a5db8e73fb7e,3754096,30,3325,0,113.6,42.2,6.767569726275458,1.0436939315253162,t,Left Foot,Open Play,Normal,t,f,0.3105806
5c9ae65c-080b-4bae-8a10-b202ad5ea79f,3754096,40,3482,0,108.1,38.4,12.007081243999314,0.6388536501454956,f,Left Foot,Open Play,Volley,t,f,0.08400308
41b41073-d4f9-42a0-9ee0-b59a9efe3756,3754096,40,3482,0,111.5,37.9,8.755569655939013,0.8423859797896993,f,Right Foot,Open Play,Half Volley,t,f,0.12966536
777406fd-8175-449e-802b-56d0fedea460,3754096,40,27853,0,95.5,47.8,25.71167050193355,0.2949701130715527,f,Right Foot,Free Kick,Normal,f,f,0.062677845
1094c355-8e4c-4d4b-a99e-7626b30d8ab3,3754096,40,3684,0,111.1,49.7,13.164345787011225,0.4250457468545823,t,Right Foot,Open Play,Half Volley,t,f,0.059325803
85669810-6c1c-4e42-b94e-98aa8d039bba,3754096,40,4271,0,106.6,34.4,14.523085071705673,0.5028195777153237,t,Head,Open Play,Normal,f,f,0.030481705
022e8a04-6f42-455c-bd56-40ce3e0d3b03,3754096,40,4271,0,107.4,36.7,13.02497600765544,0.5806070701292891,t,Head,Open Play,Normal,f,f,0.041745376
e3d4a8e5-ff6a-4dfc-96e0-245e2654e1c8,3754096,40,3349,0,111.1,39.7,8.905054744357281,0.8440668173546744,f,Head,Open Play,Normal,f,f,0.17260039
4bc86b3c-38da-41c2-a687-85bbe4f5943f,3754096,40,3349,0,107.4,34.5,13.748090776540568,0.5275459984518251,f,Right Foot,Open Play,Half Volley,f,t,0.13309301
260b4c98-7843-4cd7-be73-5aba47d11b28,3754096,30,3325,0,107,51,17.029386365926403,0.3627642592631574,f,Right Foot,Open Play,Normal,t,f,0.07664683
49055288-5125-4d30-bf37-f61ace589665,3754096,40,4271,0,113.6,39.5,6.419501538281619,1.1132610153125346,t,Head,Open Play,Normal,f,f,0.15741299
9e28cf1f-2bc8-4eb1-b0e9-81dbce2fd907,3754096,40,3684,0,110.3,35,10.912836478203092,0.6452526105052279,t,Head,Open Play,Normal,f,f,0.06870421
ed47e665-4e30-4eaf-8071-da9ce3b9da29,3754096,30,3325,0,88.6,40.9,31.412895441203766,0.2532096565511537,f,Right Foot,Free Kick,Normal,f,f,0.0288367
ce90792a-6776-4f19-a3ff-be53714b579d,3754096,30,4913,0,103.5,27.8,20.520477577288496,0.3150036795512057,f,Right Foot,Open Play,Volley,t,f,0.03340511
0a02756b-4174-44f8-b45e-4a031f745c1e,3754096,40,4271,0,112.1,39.5,7.915806970865326,0.9348311006011711,t,Head,Open Play,Normal,f,f,0.08574834
635e109a-8e3d-4f34-98f1-6e8cc19c6fdc,3754096,40,3874,0,96.4,42.6,23.74278837878988,0.33194693020909993,t,Right Foot,Open Play,Normal,f,f,0.04102696
20d8b3f3-3d54-4e38-b767-6100ffc857c9,3754096,40,3062,0,104.4,21.7,24.046829312822094,0.21842411787050953,f,Left Foot,Open Play,Normal,t,f,0.01664262
4741470d-d5f4-4ce3-af4a-131e29374c0a,3754096,30,3603,0,107,48.7,15.642570121306795,0.42680867701336317,f,Left Foot,Open Play,Normal,t,f,0.21944693
049e9e08-063f-4c85-b537-c8bdb640b5ba,3754096,30,4913,0,105.3,56.6,22.17318199988446,0.24237991637832612,f,Left Foot,Open Play,Half Volley,f,f,0.032244846
e32c30e5-c756-4ed6-bc29-b69a457c9b52,3754096,30,3636,0,93.8,41.4,26.2373779177722,0.3021733899748972,f,Left Foot,Open Play,Half Volley,t,f,0.029621327
9453889c-9081-4f1c-a6bf-2611e8288b77,3754096,30,3603,0,102.7,37.8,17.439323381370045,0.44779524435560303,f,Left Foot,Open Play,Normal,f,f,0.06940423
28bb523b-0a7a-46a4-931b-06dc9612529d,3754096,40,3349,0,101.2,30.8,20.930360723121805,0.3423033410066142,f,Right Foot,Open Play,Normal,f,f,0.03947005
8dff782f-50b4-4e37-bb0d-26e11e5b4eeb,3754096,40,27853,0,101.6,48.4,20.22671500763286,0.3582799493963287,f,Right Foot,Open Play,Normal,f,f,0.058368266
c9d38189-e827-48f8-ac16-95b7b2430e21,3754096,40,28559,0,111.9,38.5,8.237718130647583,0.8958672165771782,f,Head,Open Play,Normal,f,f,0.27661958
4d4cda5e-85ae-416a-9588-d5dc320ca208,3754096,40,27853,0,96,46.8,24.944738924270183,0.3067122992529505,f,Left Foot,Open Play,Normal,f,f,0.029259034
6c3f1868-436c-4714-bfe7-b6efa2d78b3a,3754096,40,3684,0,81.2,32.9,39.44426447533279,0.1989124789013715,f,Right Foot,Free Kick,Normal,f,f,0.007381318
108f7ea7-697a-4b88-a27a-8f0348b39630,3754096,30,3603,0,102.7,43.9,17.734147850968196,0.4341484178508767,f,Right Foot,Open Play,Normal,t,f,0.42787996
1d04150b-55a1-42a8-9785-0f3336e51ee8,3754096,40,28559,0,78.1,38,41.94770553915912,0.18992766233939024,f,Right Foot,Open Play,Normal,f,f,0.0054937513
19942546-8922-435f-99e7-5e898d5c3d10,3754096,40,3684,0,116.6,42.9,4.468780594300869,1.425863833656316,f,Head,Open Play,Normal,f,f,0.18486765
bbbd4e4a-fa75-4864-8eec-452e401f86bb,3754119,37,26207,0,115.7,38.2,4.661544808322662,1.4057419311883164,f,Right Foot,Open Play,Overhead Kick,t,f,0.41482657
fc7aa386-5f08-4130-bb67-81b7532c322b,3754119,37,3091,0,107.2,52.1,17.613914953808536,0.3348950036405671,f,Right Foot,Open Play,Half Volley,f,f,0.064534955
a50ec28a-c018-4fe5-a56c-24bcd8a17441,3754119,37,4269,0,107.7,48.7,15.065855435387663,0.4364039860790863,t,Head,Open Play,Normal,f,f,0.037371393
b4ee5baa-7086-4732-a1b2-8546fff720f2,3754119,41,10783,0,91.4,36.6,28.8013888554007,0.27416460331759246,f,Right Foot,Open Play,Half Volley,f,f,0.021841373
7c10db11-0911-465e-b2bb-36f9de9d7865,3754119,37,3567,0,98.6,28.7,24.200206610688273,0.29194792984682494,t,Left Foot,Open Play,Normal,t,f,0.054690037
334f9224-5afc-4a8e-9c4e-865219684e20,3754119,37,9649,0,102.3,38.2,17.791290003819288,0.44031680419993596,f,Left Foot,Open Play,Half Volley,f,f,0.07391329
47f6b616-1c95-41b9-9bb3-34171d05db45,3754119,37,4269,0,112.8,43.9,8.18840643837371,0.845610610029022,f,Right Foot,Open Play,Normal,f,t,0.8392974
bd68c54b-75f4-4d09-96c9-87861e9408df,3754119,37,3091,0,103,56,23.345235059857504,0.2516393106305135,f,Left Foot,Open Play,Normal,f,f,0.031611867
ae42c8fd-200b-4282-ab90-07c8e4052d2e,3754119,37,3091,0,94,47.5,27.060118255469618,0.2826276397170011,f,Left Foot,Open Play,Normal,f,f,0.026376052
fe629e87-7c0c-4eeb-82af-b4505709f4c4,3754119,41,9554,0,111.1,39.9,8.900561780022658,0.8446947340370201,t,Head,Open Play,Normal,f,f,0.064235546
8c29a142-7965-4670-a9fe-ca73302149a8,3754119,37,9649,0,111.5,49.7,12.897286536322284,0.4247716865761838,f,Right Foot,Open Play,Volley,t,f,0.18312919
112eb1fd-e516-4b8c-956e-8b59dfa5ef58,3754119,37,4269,0,113.3,46.6,9.404786015641188,0.6369543758716327,t,Right Foot,Open Play,Half Volley,t,f,0.070946634
dc6d91c1-d80d-4f55-979b-539be1138df3,3754119,37,3076,0,111.8,50.3,13.165485179058157,0.3950393191206475,f,Left Foot,Open Play,Half Volley,t,f,0.16809975
240e286b-4b95-4a01-8f37-6304f3394c27,3754119,37,3567,0,100.2,26.9,23.741314201197877,0.28155238525444937,f,Right Foot,Free Kick,Normal,f,f,0.061820045
cae06d1a-56f4-47ef-89a6-e43708b9a886,3754119,37,3076,0,111.2,21.6,20.396078054371138,0.1742157864429441,f,Right Foot,Open Play,Normal,f,f,0.010394924
4da0c744-557c-43af-b9af-2435485661b7,3754119,41,42902,1,108.1,40.2,11.901680553602509,0.6483856170166347,f,Left Foot,Penalty,Normal,f,f,0.7835
9f9fd28a-e21a-4c7a-9a4b-51089e4fc442,3754119,41,3337,0,103,52.7,21.220037700249264,0.3034813048905844,f,Right Foot,Open Play,Normal,f,f,0.058981504
85237359-b3bc-4724-8a2d-323b6d3efa68,3754119,37,4269,0,109,33.7,12.676355943251197,0.5464247954391211,f,Right Foot,Open Play,Normal,f,f,0.45560068
30d6bb13-4079-46a5-ab0d-81ff0af2a48b,3754119,37,3076,0,94.5,41.8,25.563450471327222,0.30970749795253344,t,Right Foot,Open Play,Normal,f,f,0.032252952
f1c9c04a-dada-40e0-a3df-dae5a71fb7d0,3754119,41,9554,0,95.9,26.3,27.721832551258217,0.2508172379712785,f,Left Foot,Open Play,Normal,f,f,0.02273964
0d018972-c831-4fe4-8074-4b5da083efa8,3754119,41,4429,0,107.5,26.5,18.398369492974098,0.3006763914001276,f,Right Foot,Open Play,Volley,t,f,0.036030393
583d7aa7-95d4-4cd4-8754-cf7ca854d2c7,3754119,41,10503,1,118.5,41.4,2.051828452868318,2.3473674811193974,f,Right Foot,Open Play,Half Volley,f,f,0.86778295
13efad76-402f-47e0-b087-ae28172524bc,3754119,37,3567,0,109.5,55.3,18.556400513030535,0.2504603738344444,f,Right Foot,Open Play,Normal,t,f,0.053915214
c548ce59-2ef5-470e-a225-ab16be712d96,3754119,37,3076,0,109.5,25,18.309833423600555,0.257285168927859,f,Left Foot,Open Play,Half Volley,t,f,0.02946819
d992e589-a08b-4e08-ac97-053d76519219,3754119,41,42902,0,95.6,52.2,27.280029325497438,0.2619011145086791,f,Left Foot,Open Play,Normal,f,f,0.032034416
579d5e46-8255-4b27-abc7-150ac555a5ef,3754119,37,16072,0,101,49,21.02379604162864,0.34272649843066494,t,Right Foot,Open Play,Half Volley,f,f,0.042791177
b08433df-de9c-4c20-a553-a986e78ba3f3,3754119,37,3065,0,93.1,28,29.455220250407233,0.24751618211692944,f,Left Foot,Open Play,Normal,f,f,0.02362311
457a18c7-5eae-4a84-be56-c225dc131d5d,3754119,37,4269,0,113.5,37.9,6.8308125431752265,1.0380475664628492,t,Head,Open Play,Normal,f,t,0.15569912
5a508136-0092-4419-be38-9c09f9344b22,3754119,37,3254,0,100.2,50.7,22.506221362103414,0.3123458660076224,f,Left Foot,Open Play,Normal,f,f,0.04219326
79f7c5b8-557e-4d10-bce2-efd6daaf2f42,3754119,37,3254,0,97.8,53.6,26.034592372457077,0.26218172372996607,f,Left Foot,Open Play,Normal,t,f,0.02540992
