cluster,player_name,position_name,events,passes,shots,carries,pressures,goals,xg,assists,pass_ratio,shot_ratio,carry_ratio,pressure_ratio,goal_conversion,xg_per_shot,assist_ratio
0,Papiss Demba Cissé,Center Forward,2043,407,24.0,329,192,3,3.6073283896,0,0.19921683798335782,0.011747430249632892,0.1610376896720509,0.09397944199706314,0.125,0.15030534956666666,0.0
0,Daniel Nii Tackie Mensah Welbeck,Center Forward,976,145,20.0,181,111,4,3.023731793,2,0.14856557377049182,0.020491803278688523,0.18545081967213115,0.11372950819672131,0.2,0.15118658965,0.013793103448275862
0,Emmanuel Emenike,Center Forward,872,153,12.0,146,83,0,1.810002222,0,0.17545871559633028,0.013761467889908258,0.16743119266055045,0.09518348623853211,0.0,0.1508335185,0.0
0,Victor Chinedu Anichebe,Center Forward,617,116,14.0,77,54,0,1.219452485,0,0.1880064829821718,0.022690437601296597,0.12479740680713128,0.08752025931928688,0.0,0.08710374892857142,0.0
0,Radamel Falcao García Zárate,Center Forward,466,85,12.0,81,46,1,1.332758599,0,0.18240343347639484,0.02575107296137339,0.17381974248927037,0.09871244635193133,0.08333333333333333,0.11106321658333333,0.0
0,Patrick Bamford,Center Forward,636,96,10.0,99,78,0,1.042446711,0,0.1509433962264151,0.015723270440251572,0.15566037735849056,0.12264150943396226,0.0,0.10424467109999999,0.0
0,Divock Okoth Origi,Center Forward,1175,173,24.0,226,143,5,2.3073988329,1,0.1472340425531915,0.020425531914893616,0.19234042553191488,0.12170212765957447,0.20833333333333334,0.0961416180375,0.005780346820809248
0,José Salomón Rondón Giménez,Center Forward,4361,662,72.0,618,517,9,8.3394650601,2,0.15180004586104104,0.016509974776427426,0.14171061683100206,0.11855079110295803,0.125,0.1158259036125,0.0030211480362537764
0,Danny Graham,Center Forward,490,86,4.0,62,48,0,0.5011478739999999,0,0.17551020408163265,0.00816326530612245,0.12653061224489795,0.09795918367346938,0.0,0.12528696849999998,0.0
0,Peter Crouch,Center Forward,719,156,9.0,73,68,0,0.5820410969999998,1,0.21696801112656466,0.012517385257301807,0.10152990264255911,0.09457579972183588,0.0,0.06467123299999998,0.00641025641025641
0,Rudy Gestede,Center Forward,2576,594,63.0,288,190,5,5.239368649999999,1,0.23059006211180125,0.024456521739130436,0.11180124223602485,0.07375776397515528,0.07936507936507936,0.08316458174603174,0.0016835016835016834
0,Romelu Lukaku Menama,Center Forward,5562,1112,116.0,1047,305,18,18.1571581707,7,0.19992808342322904,0.020855807263574253,0.18824163969795038,0.0548363897878461,0.15517241379310345,0.15652722560948276,0.006294964028776978
0,Daniel Andre Sturridge,Center Forward,1682,327,48.0,368,99,8,5.1249343954,1,0.19441141498216408,0.028537455410225922,0.21878715814506539,0.058858501783590964,0.16666666666666666,0.10676946657083335,0.0030581039755351682
0,Benik Afobe,Center Forward,1428,224,14.0,231,197,4,1.948932968,0,0.1568627450980392,0.00980392156862745,0.16176470588235295,0.13795518207282914,0.2857142857142857,0.13920949771428573,0.0
0,Cameron Jerome,Center Forward,2503,434,49.0,342,225,3,7.300334360999998,2,0.17339192968437875,0.019576508190171794,0.13663603675589292,0.0898921294446664,0.061224489795918366,0.1489864155306122,0.004608294930875576
0,Steven Fletcher,Center Forward,1621,294,23.0,229,143,4,2.261517854,0,0.18136952498457742,0.01418877236273905,0.14127082048118444,0.08821714990746453,0.17391304347826086,0.0983268632173913,0.0
0,Gabriel Imuetinyan Agbonlahor,Center Forward,1345,233,11.0,182,182,1,1.435095347,2,0.17323420074349444,0.008178438661710037,0.13531598513011153,0.13531598513011153,0.09090909090909091,0.13046321336363637,0.008583690987124463
0,Mame Biram Diouf,Center Forward,1670,272,32.0,249,212,5,4.856480781999999,1,0.162874251497006,0.019161676646706587,0.14910179640718563,0.12694610778443113,0.15625,0.15176502443749998,0.003676470588235294
0,Emmanuel Adebayor,Center Forward,1199,240,12.0,211,121,1,2.139792485,1,0.20016680567139283,0.010008340283569641,0.17597998331943285,0.10091743119266056,0.08333333333333333,0.17831604041666668,0.004166666666666667
