,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3524,,,,,,,,,,,,,,,,,,0.683384,,,,,,,,,,,,,9f691611-dea3-4c0f-b141-5e1bd3f9eb42,1640,,,"[90.7, 48.4]",3895302,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Nathan Tella,41411.0,Right Wing Back,57,Werder Bremen,176,['5c93eedf-61de-4f59-8281-86b6375e1809'],43,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:36:43.942,Pressure,
3525,,,,,,,,,,,,,,,,,,0.859031,,,,,,,,,,,,,0d08a10b-a5b7-4354-afe5-0b943086136e,1644,,,"[104.3, 54.0]",3895302,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Nathan Tella,41411.0,Right Wing Back,57,Werder Bremen,176,"['4f83f552-9f11-492a-97e2-1b22ca40774d', '64d31aff-9874-44fc-84e6-91e1f7a74ee8']",46,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:36:46.247,Pressure,
3526,,,,,,,,,,,,,,,,,,0.323985,,,,,,,,,,,,,efd92632-c449-4b23-bad1-013c0550926a,1646,,,"[68.1, 66.3]",3895302,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Jonathan Tah,8221.0,Center Back,57,Werder Bremen,176,"['07b43e54-6b5a-40bd-b3c0-4272a3c1f085', 'b0e3e075-bec9-4580-8463-c7dd81624656', 'f51843fd-68ff-4a92-98bf-2729ea7e1645']",48,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:36:48.299,Pressure,
3527,,,,,,,,,,,,,,,,,,0.829865,,,,,,,,,,,,,0073af1a-7f45-4793-a1f4-637164dfeae4,1658,,,"[13.5, 21.3]",3895302,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Piero Martín Hincapié Reyna,38004.0,Left Wing Back,57,Werder Bremen,176,"['32fc5bb3-05b8-47db-aa0a-dbfd9917cda4', 'c9b9fb43-8c3e-42ac-9ebd-0478037ebe5b']",58,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:36:58.264,Pressure,
3528,,,,,,,,,,,,,True,,,,,0.19221,,,,,,,,,,,,,2a4d39bc-fb9f-4f45-9e2e-6cdcaa9a04e8,1662,,,"[103.0, 58.8]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leonardo Bittencourt,8826.0,Right Center Midfield,58,Bayer Leverkusen,904,"['0257b478-5f8a-431b-8366-2999e4c3a25f', 'c003481d-3de0-49d2-8d20-ef3fd2c63ea1']",2,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:02.149,Pressure,
3529,,,,,,,,,,,,,True,,,,,3.868823,,,,,,,,,,,,,64d256a5-7ce2-4928-8381-6c1871b269c6,1664,,,"[88.1, 68.9]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mitchell Weiser,8576.0,Right Wing Back,58,Bayer Leverkusen,904,"['70e60317-4408-4e4f-bc4b-89aa4e5b36f9', 'c3867262-6257-4701-bf27-5eb42c256e88', 'e6ea8e44-80ab-4c21-af8c-96d0230757ba']",3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:03.248,Pressure,
3530,,,,,,,,,,,,,,,,,,1.55319,,,,,,,,,,,,,49784903-0779-445b-acc6-d3497c0024d8,1671,,,"[92.3, 75.5]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mitchell Weiser,8576.0,Right Wing Back,58,Bayer Leverkusen,904,['a7cc813c-949b-45c3-b196-0cd3e28b3da4'],8,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:08.460,Pressure,
3531,,,,,,,,,,,,,,,,,,0.197041,,,,,,,,,,,,,64b20d58-9af5-46c4-8719-8187f81f88ca,1672,,,"[92.1, 77.3]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nick Woltemade,34870.0,Right Center Forward,58,Bayer Leverkusen,904,,10,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:10.639,Pressure,
3532,,,,,,,,,,,,,,,,,,2.485026,,,,,,,,,,,,,714797c2-43fe-4743-a554-e2436c019195,1676,,,"[97.8, 71.8]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nick Woltemade,34870.0,Right Center Forward,58,Bayer Leverkusen,904,"['4c2cb9a7-a93d-42f5-8103-743b25b936aa', '50fd99a5-8717-4633-8ac6-920f79e591bf']",12,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:12.940,Pressure,
3533,,,,,,,,,,,,,,,,,,0.200661,,,,,,,,,,,,,401facbe-09de-4287-b1f5-feafc5748699,1695,,,"[8.6, 53.8]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Malatini,51769.0,Right Center Back,58,Bayer Leverkusen,904,"['8cf6ed6f-59f8-455f-8930-f5b71f06c180', 'cf030097-d47d-4a5a-8816-bae88025699e']",40,,,,,,,,,,,,,,,,,Werder Bremen,176,00:37:40.242,Pressure,
3534,,,,,,,,,,,,,True,,,,,0.796341,,,,,,,,,,,,,7e8e0609-c6b7-46ca-ac4d-d2932987d1a9,1704,,,"[70.0, 57.7]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,59,Werder Bremen,176,['5e994c86-9e3a-407f-a91f-d2ea86e11afc'],49,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:37:49.733,Pressure,
3535,,,,,,,,,,,,,True,,,,,0.432378,,,,,,,,,,,,,bbfac59b-0c54-4c08-9907-a36968660d3c,1714,,,"[91.8, 11.7]",3895302,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marvin Ducksch,12299.0,Left Center Forward,60,Werder Bremen,176,['540ce4b2-f6c5-4364-a095-73c7e0acd27d'],29,,,,,,,,,,,,,,,,,Werder Bremen,176,00:38:29.202,Pressure,
3536,,,,,,,,,,,,,,,,,,0.795844,,,,,,,,,,,,,5d83ba9b-6b6b-4874-8ea4-cab7ea1b675b,1720,,,"[54.8, 64.5]",3895302,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jonas Hofmann,8804.0,Right Attacking Midfield,60,Werder Bremen,176,"['2058d78d-cb17-4fdd-84a6-8551dc551adc', 'c48a0781-7b00-4896-bef3-74f1b9b22c5b', 'cda16ac7-74b1-4e81-9ee5-31f118504389']",33,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:33.117,Pressure,
3537,,,,,,,,,,,,,,,,,,0.423525,,,,,,,,,,,,,a2c70693-7c49-4542-ad27-c7b72d8a9b26,1754,,,"[37.1, 53.8]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Victor Okoh Boniface,32289.0,Center Forward,60,Werder Bremen,176,"['46376d9b-8ef9-451a-89df-f05ca8233e81', '66185c47-d5f0-4840-abae-e050eada71bd']",6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:06.513,Pressure,
3538,,,,,,,,,,,,,,,,,,0.731803,,,,,,,,,,,,,079487b7-f86e-4c1a-a392-94c55f10cb21,1756,,,"[36.8, 68.7]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jonas Hofmann,8804.0,Right Attacking Midfield,60,Werder Bremen,176,"['84a85a1b-8db2-4ebc-8b0c-fee0c971f926', 'c025413c-dffd-4524-ba88-61613ec741df', 'e972360b-5009-44b1-a518-6a3a10d7c4e9']",7,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:07.998,Pressure,
3539,,,,,,,,,,,,,,,,,,1.069598,,,,,,,,,,,,,6c42c5b6-149c-442b-9663-e8905b87be62,1765,,,"[57.9, 70.5]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jonas Hofmann,8804.0,Right Attacking Midfield,60,Werder Bremen,176,"['d3a5747b-dba3-4caa-a273-efaf2cbd9212', 'e930f8d9-5e7e-48fa-85dc-4e882722788c']",16,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:16.017,Pressure,
